image,category,response,correct,RT,IT,MT,block,trial,pressure,mapping,block_start_global,trial_start_global,fixation_onset_global,stim_onset_global,movement_start_global,response_time_global,timeout_time_global
Living_Things\Flowers\lilac.jpg,living,left,1,0.7214936999953352,0.012730799993732944,0.7087629000016022,2,17,pressure,left,76.63962230001925,100.8791536000208,100.90209320001304,101.34896610002033,101.35576610002317,102.05259639999713,
Living_Things\Insects\butterfly.jpg,living,left,1,0.7112217000103556,0.016604000004008412,0.6946177000063471,2,18,pressure,left,76.63962230001925,102.06450110001606,102.08504550001817,102.52488360001007,102.5355314000044,103.21928370001842,
Nonliving_Things\Tools\pliers.jpg,nonliving,right,1,0.7766019999980927,0.03242149998550303,0.7441805000125896,2,19,pressure,left,76.63962230001925,103.23010539999814,103.25194700001157,103.69268860001466,103.71937730000354,104.45288720002281,
Living_Things\Insects\termite.jpg,living,left,1,0.725731899990933,0.03159629998845048,0.6941356000024825,2,20,pressure,left,76.63962230001925,104.46351620001951,104.48508750001201,104.92832259999705,104.95247760001803,105.63592610001797,
Nonliving_Things\Tools\hammer.jpg,nonliving,right,1,0.6870878000045195,0.011959700001170859,0.6751281000033487,2,21,pressure,left,76.63962230001925,105.64657400001306,105.6685695000051,106.11620940000284,106.12254690000555,106.78579910000553,
Living_Things\Trees\palm_tree.jpg,living,left,1,1.0739107999834232,0.012445000000298023,1.0614657999831252,2,22,pressure,left,76.63962230001925,106.7976411000127,106.81911080001737,107.26224310000543,107.26883050001925,108.31941070000175,
Living_Things\Birds\hen.jpg,living,left,1,0.8745485000254121,0.01351660001091659,0.8610319000144955,2,23,pressure,left,76.63962230001925,108.33025369999814,108.35215800002334,108.7949783000222,108.80231340002501,109.65247510001063,
Nonliving_Things\Furniture\bed.jpg,nonliving,right,1,0.834039200010011,0.009703999996418133,0.8243352000135928,2,24,pressure,left,76.63962230001925,109.66330190000008,109.68517050001537,110.13466260000132,110.1390680000186,110.95283100000233,
Nonliving_Things\Musical_Inst\maracas.jpg,nonliving,right,1,0.8566724999982398,0.013152800005627796,0.843519699992612,2,25,pressure,left,76.63962230001925,110.96339240000816,110.98518480002531,111.42852750001475,111.43602069999906,112.26911829999881,
Nonliving_Things\Tools\screwdriver.jpg,nonliving,right,1,0.7536865999863949,0.013600099977338687,0.7400865000090562,2,26,pressure,left,76.63962230001925,112.27949230000377,112.30208340001991,112.74854430000414,112.75616280001123,113.4858953000221,
Nonliving_Things\Clothing\bathrobe.jpg,nonliving,right,1,1.1275992000009865,0.014996999991126359,1.11260220000986,2,27,pressure,left,76.63962230001925,113.49621680000564,113.51848330002395,113.96102610000526,113.96905549999792,115.06957580000744,
Living_Things\Flowers\rose.jpg,living,left,1,0.8404033999831881,0.013051299989456311,0.8273520999937318,2,28,pressure,left,76.63962230001925,115.08181280002464,115.10206299999845,115.54653260001214,115.55274050001753,116.36963760000071,
Nonliving_Things\Vehicles\train.jpg,nonliving,right,1,0.790321300009964,0.016207000007852912,0.7741143000021111,2,29,pressure,left,76.63962230001925,116.38006360002328,116.40205309999874,116.84963650000282,116.85602740000468,117.6196123000118,
Nonliving_Things\Vehicles\paragliding.jpg,nonliving,left,0,0.8959478999895509,0.01646529999561608,0.8794825999939349,2,30,pressure,left,76.63962230001925,117.63011990001542,117.65206990001025,118.09158279999974,118.10229840001557,118.96980680001434,
Nonliving_Things\Furniture\table.jpg,nonliving,right,1,0.9645113000005949,0.5356202000111807,0.4288910999894142,3,1,normal,left,123.75173290001112,123.75174390000757,124.83525400000508,125.28915630001575,125.81866840002476,126.23627020002459,
Living_Things\Insects\scorpion.jpg,living,left,1,1.1813171000103466,0.01850840001134202,1.1628086999990046,3,2,normal,left,123.75173290001112,126.24749680000241,126.26852550002513,126.72337350001908,126.73538090000511,127.88610580001841,
Nonliving_Things\Tools\pincers.jpg,nonliving,right,1,0.8118431999755558,0.016162399988388643,0.7956807999871671,3,3,normal,left,123.75173290001112,127.89814780000597,127.91841800001566,128.36061800000607,128.3684048000141,129.15277820001938,
Nonliving_Things\Buildings\pyramid.jpg,nonliving,right,1,1.3998355999938212,0.1211823999765329,1.2786532000172883,3,4,normal,left,123.75173290001112,129.16407840000466,129.18508340002154,129.63743870001053,129.75223430001643,131.02013210000587,
Living_Things\Animals\rhino.jpg,living,left,1,0.9837572000105865,0.022836499992990866,0.9609207000175957,3,5,normal,left,123.75173290001112,131.03084390002186,131.05195230001118,131.50291080001625,131.5187786000024,132.4694954000006,
Living_Things\Birds\ostrich.jpg,living,left,1,1.1095031000149902,0.1137880000169389,0.9957150999980513,3,6,normal,left,123.75173290001112,132.47968129999936,132.50203140001395,132.94345240000985,133.0521678000223,134.0361319000076,
Living_Things\Birds\magpie.jpg,living,left,1,1.396406299987575,0.017397899995557964,1.379008399992017,3,7,normal,left,123.75173290001112,134.0478393000085,134.06854710000334,134.50799810001627,134.5185543000116,135.88615880001453,
